InvoiceID,InvoiceDate,CustomerID,ProductID,Quantity,Category,UnitPrice,DiscountPct,NetSales,Cost
INV00001,2024-09-11,C091,P028,5,Phones,468.4215241727188,0.05,2225.002239820414,1735.5017470599232
INV00002,2024-12-24,C077,P028,1,Phones,485.99152395596434,0.05,461.6919477581661,360.1197192513696
INV00003,2024-10-09,C033,P009,3,Accessories,45.29518673688109,0.15,115.50272617904679,57.751363089523394
INV00004,2024-07-25,C006,P004,7,Accessories,33.918257495563395,0.0,237.42780246894375,118.71390123447188
INV00005,2024-01-15,C088,P005,3,Accessories,43.7588135583183,0.1,118.14879660745942,59.07439830372971
INV00006,2024-12-11,C019,P021,7,Phones,506.2909828378611,0.05,3366.835035871776,2626.1313279799856
INV00007,2024-02-11,C080,P008,5,Laptops,823.6603233633573,0.0,4118.301616816787,3624.1054227987725
INV00008,2024-06-27,C040,P023,4,Phones,498.56391690656494,0.2,1595.4045341010078,1244.415536598786
INV00009,2024-03-03,C092,P009,2,Accessories,36.79907311643236,0.05,69.91823892122149,34.959119460610744
INV00010,2024-12-17,C097,P015,5,Monitors,259.6081955238306,0.0,1298.040977619153,908.628684333407
INV00011,2024-08-18,C059,P015,2,Monitors,243.38439228552443,0.05,462.43034534249637,323.70124173974745
INV00012,2024-08-28,C059,P016,4,Laptops,779.1859904683964,0.15,2649.2323675925477,2331.324483481442
INV00013,2024-02-21,C048,P014,3,Accessories,33.86532919289115,0.0,101.59598757867346,50.79799378933673
INV00014,2024-04-05,C041,P008,2,Laptops,916.8104455459669,0.0,1833.6208910919338,1613.5863841609018
INV00015,2024-08-09,C013,P018,1,Monitors,290.2413033286103,0.0,290.2413033286103,203.16891233002718
INV00016,2024-08-18,C045,P010,1,Phones,468.7915373115371,0.0,468.7915373115371,365.65739910299897
INV00017,2024-08-24,C089,P028,7,Phones,546.6000214445246,0.1,3443.580135100505,2685.9925053783936
INV00018,2024-05-22,C053,P020,5,Accessories,42.53858167903627,0.05,202.05826297542228,101.02913148771114
INV00019,2024-06-19,C042,P006,4,Monitors,293.1554914309481,0.0,1172.6219657237923,820.8353760066545
INV00020,2024-01-29,C100,P012,7,Accessories,45.13569627678625,0.0,315.94987393750375,157.97493696875188
INV00021,2024-02-05,C063,P002,5,Monitors,256.6605258905463,0.0,1283.3026294527315,898.3118406169119
INV00022,2024-01-13,C027,P007,5,Laptops,956.5309793642787,0.15,4065.2566622981844,3577.4258628224025
INV00023,2024-06-08,C038,P016,7,Laptops,1043.4191279702525,0.0,7303.933895791767,6427.461828296755
INV00024,2024-11-22,C060,P003,6,Laptops,863.8267624512965,0.2,4146.368459766224,3648.8042445942774
INV00025,2024-07-05,C007,P013,5,Accessories,37.228715293724434,0.05,176.83639764519106,88.41819882259553
INV00026,2024-08-30,C005,P003,6,Laptops,723.8919901086707,0.0,4343.3519406520245,3822.1497077737818
INV00027,2024-03-26,C045,P027,1,Phones,565.3102148382928,0.15,480.5136826125489,374.80067243778814
INV00028,2024-10-10,C058,P018,1,Monitors,280.0980700403365,0.05,266.0931665383197,186.26521657682378
INV00029,2024-03-06,C031,P011,5,Accessories,33.67127228960242,0.1,151.5207253032109,75.76036265160545
INV00030,2024-06-18,C023,P008,1,Laptops,927.668657207772,0.2,742.1349257662176,653.0787346742716
INV00031,2024-02-14,C042,P006,4,Monitors,246.39816981668875,0.0,985.592679266755,689.9148754867284
INV00032,2024-03-02,C010,P001,6,Accessories,33.89934552814579,0.0,203.39607316887472,101.69803658443736
INV00033,2024-05-13,C032,P028,6,Phones,596.1136454121447,0.1,3219.0136852255814,2510.8306744759534
INV00034,2024-10-10,C053,P001,5,Accessories,35.43513419941369,0.0,177.17567099706844,88.58783549853422
INV00035,2024-01-28,C030,P023,1,Phones,413.44683601811226,0.0,413.44683601811226,322.48853209412755
INV00036,2024-04-17,C039,P008,2,Laptops,934.1450566206875,0.0,1868.290113241375,1644.09529965241
INV00037,2024-02-13,C031,P005,7,Accessories,43.82186683412853,0.0,306.7530678388997,153.37653391944986
INV00038,2024-12-05,C082,P028,7,Phones,406.48868920943744,0.1,2560.8787420194562,1997.485418775176
INV00039,2024-10-12,C100,P016,6,Laptops,957.138349941728,0.0,5742.8300996503685,5053.6904876923245
INV00040,2024-11-26,C002,P011,5,Accessories,40.51667001522327,0.05,192.45418257231051,96.22709128615526
INV00041,2024-05-07,C078,P005,5,Accessories,33.65224014200078,0.05,159.8481406745037,79.92407033725185
INV00042,2024-12-13,C077,P004,4,Accessories,34.760382031141795,0.05,132.0894517183388,66.0447258591694
INV00043,2024-08-18,C093,P030,3,Monitors,256.7974297316081,0.0,770.3922891948242,539.2746024363769
INV00044,2024-07-08,C012,P006,3,Monitors,229.63576135132885,0.1,620.016555648588,434.0115889540116
INV00045,2024-08-12,C039,P014,6,Accessories,47.01305165842106,0.0,282.0783099505264,141.0391549752632
INV00046,2024-10-09,C066,P022,7,Laptops,1014.7464826142583,0.1,6392.902840469827,5625.754499613448
INV00047,2024-04-30,C096,P019,4,Monitors,298.3567206513663,0.15,1014.4128502146453,710.0889951502517
INV00048,2024-04-25,C013,P009,4,Accessories,36.15473342320663,0.05,137.38798700818518,68.69399350409259
INV00049,2024-08-20,C046,P012,4,Accessories,47.51557812476763,0.05,180.559196874117,90.2795984370585
INV00050,2024-09-15,C027,P011,6,Accessories,38.89974191666492,0.05,221.72852892499006,110.86426446249503
INV00051,2024-12-24,C017,P014,3,Accessories,37.56030072502008,0.0,112.68090217506023,56.34045108753011
INV00052,2024-07-16,C095,P023,7,Phones,410.06990539387067,0.15,2439.9159370935304,1903.1344309329538
INV00053,2024-05-16,C098,P016,4,Laptops,738.995492829457,0.15,2512.584675620154,2211.0745145457354
INV00054,2024-11-13,C060,P001,7,Accessories,43.07218009514648,0.0,301.5052606660254,150.7526303330127
INV00055,2024-06-13,C064,P013,1,Accessories,39.326863910944446,0.05,37.36052071539722,18.68026035769861
INV00056,2024-08-12,C088,P023,5,Phones,445.30432520722115,0.15,1892.54338213069,1476.183838061938
INV00057,2024-11-02,C035,P021,5,Phones,522.7940612650466,0.2,2091.1762450601864,1631.1174711469455
INV00058,2024-08-21,C070,P021,7,Phones,450.5716236500222,0.05,2996.301297272648,2337.1150118726655
INV00059,2024-06-20,C083,P030,2,Monitors,257.76317543444225,0.05,489.75003332544026,342.82502332780814
INV00060,2024-05-31,C030,P013,2,Accessories,37.74733995172304,0.0,75.49467990344608,37.74733995172304
INV00061,2024-11-10,C071,P002,6,Monitors,282.3552226611819,0.2,1355.3050687736734,948.7135481415713
INV00062,2024-06-08,C074,P004,6,Accessories,45.13113857226847,0.0,270.7868314336108,135.3934157168054
INV00063,2024-04-05,C096,P028,5,Phones,495.47007962448026,0.05,2353.482878216281,1835.716645008699
INV00064,2024-08-20,C098,P006,1,Monitors,235.08191093350155,0.0,235.08191093350155,164.55733765345107
INV00065,2024-06-28,C063,P026,3,Phones,472.5119593118189,0.0,1417.5358779354567,1105.6779847896562
INV00066,2024-04-22,C028,P027,3,Phones,561.1429051336436,0.05,1599.257279630884,1247.4206781120897
INV00067,2024-11-13,C060,P023,6,Phones,465.6358965595224,0.2,2235.052303485708,1743.3407967188523
INV00068,2024-02-21,C079,P027,1,Phones,441.81187474136925,0.0,441.81187474136925,344.613262298268
INV00069,2024-09-24,C094,P005,6,Accessories,33.35501347000491,0.05,190.123576779028,95.061788389514
INV00070,2024-10-21,C037,P025,3,,246.66931208844085,0.0,740.0079362653225,518.0055553857258
INV00071,2024-04-22,C093,P003,7,Laptops,893.5675556111431,0.0,6254.972889278002,5504.376142564642
INV00072,2024-04-10,C022,P001,6,Accessories,45.45453936644652,0.05,259.09087438874514,129.54543719437257
INV00073,2024-04-22,C068,P004,4,Accessories,35.539819143137024,0.05,135.05131274392068,67.52565637196034
INV00074,2024-03-21,C020,P025,7,Monitors,238.09912736684,0.0,1666.69389156788,1166.685724097516
INV00075,2024-07-05,C096,P020,6,Accessories,44.93449182229906,0.0,269.60695093379434,134.80347546689717
